FAQID,Question,Answer,Chat Scripts,Email Scripts,Voice Scripts,Gurucool Link,PCIR,Freshdesk Properties
MF_07,Why did Amica Investment Advisers Pvt. Ltd. (AIAPL) fetch my KYC details from CVL KRA?,You received an email from CVL since Jupiter fetched your KYC details from the KRA system to facilitate your investments in mutual funds. Amica Investment Advisers Pvt. Ltd. is a wholly-owned subsidiary of Amica Financial Technologies Private Limited (Jupiter Money).,Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_08,"Where does my money go when I invest, does Jupiter keep my money?",Your money is directly transferred from your bank account to the mutual fund company bank account. In any case the money does not hit to the Jupiter ecosystem.,Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_09,My Mutual Funds units did not get allocated after successful payment. Why?,It takes a maximum of 1-2 working days for Mutual Funds units allocation. You will receive a confirmation from Jupiter and the Mutual Fund Company on your registered email address.,Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_10,What is the minimum amount of investment for One-Time Mutual Fund investments?,The minimum amount that a mutual fund company decides for its funds. They will not accept an investment that does not meet the minimum limit. This information is made available on the fund's page.,Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_11,Why isn't my investment dashboard updated despite SMS/email confirmation from Mutual Fund Company?,"If the units allotment confirmation has been received by you, you can be assured that your investment Dashboard would get updated the same day.",Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_12,Why is my portfolio not updated with the latest NAV?,Don't Worry! Your portfolio will be updated with the latest NAV as soon as we receive it from our data partner.,Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_13,I don't have/want a nominee. Can I still invest via Jupiter?,"Yes, adding a nominee while onboarding is optional. If you do not wish to add a nominee for your Mutual Funds investments, you can simply skip giving nominee details at the time of onboarding.",Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_14,Do I need to do SEBI KYC to open investment account in Jupiter Money?,"Yes, you need to complete SEBI KYC to get started with investments on Jupiter. However, if you are already investing in Mutual Funds, your SEBI KYC would already be complete. We will directly validate your KYC and get you started.",Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_15,How can I check the exit load of a mutual fund?,You can check this information under scheme details for any particular scheme on the fund's page on the Jupiter Money platform.,Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_16,How much time does it take for money to get credited once a Fixed Deposit has been broken?,Money will get credited to your account within 5 minutes of breaking the Fixed Deposit.,Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_17,What is the applicable NAV for my Liquid/Overnight fund investments?,"On working days, investments in Liquid/Overnight funds made before 12:30 PM will be processed as per the previous day's NAV and investments made between 12:30 PM and 2:00 PM will be processed for the same day NAV.
Orders during non market hours or non working days will be processed on the next working day and will get you the applicable NAV.",Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_18,What are the consequences of mutual fund KYC rejection?,You would be required to upload the docs again and complete NSDL eSign to do the KYC if rejected. The rejection of the KYC would change the status of your investment account to Hold.,Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_19,"I have redeemed my SIP at Rs 500' fund, in how much time would I get the money in my Bank account?",You would get the redemption credit in your bank account within 3-4 working days from the date of the redemption order.,Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_20,What is the taxation in SIP at Rs 500' Funds?,All equity funds are taxed at 15% for short term (holding period less than 1 year) capital gains and 10% for long term (holding period more than 1 year) capital gains.,Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_21,How do I check the entry load for any mutual fund?,There are no entry loads in Mutual Funds.,Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_22,Is there a Lock-in period in SIP at Rs 500' funds?,"No, there is no lock-in period in these equity funds.",Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_23,What is the ideal investment horizon for SIP at Rs 500' funds?,An investment horizon of at least 3-5 years is recommended for equity funds. Investors can stay invested even longer to enjoy the benefit of compounding.,Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_24,What is the ideal mode of investment in SIP at Rs 500' Funds?,It would be best to start with SIP investments in these equity funds. SIP Investments in these funds are recommended for disciplined investing and to take advantage of compounding.,Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_25,What is the ideal investment horizon for Better than FD funds?,These funds are best suited for a 1-month to the 15-months investment horizon. These funds give stable returns to the investors.,Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_26,What is the SIP at Rs 500' collection of funds?,SIP at Rs 500 collection of funds consists of top performing equities funds from all the AMCs where you can start investing in SIPs with an investment amount as low as Rs 500. These funds are suitable for long term wealth creation. You can start investing small to build wealth over the long term.,Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_27,Does having an unverified account impact my Mutual Fund redemptions?,"The amount for redemption may not get credited into your bank account if any of the following conditions breach after considering redemption credit:

1. Your account balance will exceed ?1 lakh
2. Total credits into your account in this financial year will exceed ?2 lakh",Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_28,What are the benefits of uploading my non-jupiter mutual fund portfolio report on Jupiter?,"The report helps you understand your portfolio performance and risk. You can discover hidden fees, compare your funds to top performing sectors, and see your risk exposure level.",Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_29,What is the minimum One-Time Investment amount in Better than FD funds?,Minimum One-Time Investment amount differs from fund to fund. You can check the minimum One Time investment amount of the specific fund on the fund's page.,Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_30,Can I request another non-jupiter mutual fund report?,"Yes you can, but only after 30 days! We refresh your report every month.",Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_31,What is the taxation in Better than FD Funds?,"Just like interest income from FDs/Savings Account, the capital gains of these debt funds are added to your income and taxed according to your income levels if you hold them for a Short term (holding period less than 3 years). However, if you hold them for long term (holding period more than 3 years) then they are taxed at 20% after indexation benefit",Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_32,"I have family members who have non-jupiter investments as well, why are those not showing up in my portfolio report?",We only show you investments made with the PAN card associated with your bank account.,Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_33,What is the exit load in Better than FD funds?,"There is Zero exit load in these funds. You can redeem your investment anytime, either partially or totally, without any penalties.",Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_34,How safe is my data with CDSL/CVL KRA?,CDSL/CVL is a SEBI regulated KYC registration agency (KRA) & has in place stringent policies and systems to ensure the confidentiality of data.,Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_35,Is there a Lock-in period in Better than FD funds?,"No, there is no lock-in period in these funds.",Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_36,How can I remove restrictions on mutual fund investments on my unverified account?,You can remove restrictions on your account by verifying your account by completing video KYC.,Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_37,"I have redeemed my Index fund, in how much time would I get the money in my Bank account?",You would get the redemption credit in your bank account within 3-4 working days from the date of the redemption order.,Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_38,What is a good debt-to-equity split?,"It varies from person to person dependent on your risk preferences. More equity means more short term risk, but also more potential return. Please consult your financial advisor for this.",Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_39,When can my mutual fund investments be impacted for my unverified account?,"You may not be able to add money into your account for investment if any of the following conditions is breaching after considering the deposit transaction:
1. Your account balance will exceed Rs 1 Lakh
2. Total credits into your account in this financial year will exceed Rs 2 lakh",Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_40,What happens to my investments in case my unverified bank account gets closed?,Your investments are perfectly safe. Access to these will get restricted in case your account gets closed. You will have to change your linked bank account from the MF central website to redeem these investments. You can avoid facing this hassle by verifying your account by completing video KYC.,Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_41,How many Better than FD funds should I invest in?,Investors can invest in 1-2 funds for adequate portfolio diversification.,Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_42,Are there limits on redemption of mutual fund investments for unverified accounts?,"There are no limits on your redemptions from your mutual fund folios. However, there is a limit on the amount you can receive in your unverified bank account. As per RBI guidelines, unverified accounts can receive credit on upto 2 lakhs in a financial year.Additionally your account balance cannot exceed 1 lakh at any time. Complete video verification to remove these limits.",Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_43,What is the ideal mode of investment in Better than FD Funds?,You can either make a One-Time investment or SIP investment in these funds.,Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_44,What is the minimum SIP investment amount in Index funds?,The minimum SIP Investment amount differs from fund to fund. You can check the minimum SIP investment amount of the specific fund on the fund page.,Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_45,What is the taxation in Index Funds?,All equity funds are taxed at 15% for short term (holding period less than 1 year) capital gains and 10% for long term (holding period more than 1 year) capital gains,Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_46,Who analyses my non-jupiter portfolio report?,The report is auto analyzed with insights powered by Jupiter's investments team.,Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_47,How can I avoid hidden fees mentioned in my non-jupiter portfolio report?,Switching to a direct plan without using a broker or a third party can help you avoid fees. Investing in mutual fund via Jupiter enables users to enjoy the benefits without any hidden fees. You can earn upto 1.5% more returns by investing in direct mutual funds on Jupiter,Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_48,Does my non-jupiter portfolio report also analyse my stock portfolio?,Not yet! Right now we only analyse mutual funds but stay tuned for future developments.,Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_49,Who is CVL KRA?,CVL KRA is one of the KYC registration agencies (KRA) in the country. CVL KRA offers KYC related services for mutual fund investing.,Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_50,"The NAV shown in my non-jupiter portfolio report is wrong, what do I do?","Sorry, that shouldn't be the case! Please write to us on investments@jupiter.money , mailto:investments@jupiter.money or raise it with a customer care agent.",Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_51,How many Index Funds should I invest in?,"Investors can invest in 2-3 different funds which track different indices for portfolio diversification. For example, one can invest in a Nifty 50 Index Fund and Nifty Midcap 150 Index fund for diversification.",Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_52,What is the ideal investment horizon for Index Funds?,An investment horizon of at least 3-5 years is recommended for equity funds. Investors can stay invested even longer to enjoy the benefit of compounding for the best compounding benefit,Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_53,What is the ideal mode of investment for Index Funds?,You can make a One-Time investment or SIP investment in these funds. SIP Investments in these funds are recommended for disciplined investing and to take advantage of compounding.,Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_54,What is the Index Fund collection?,"Index Funds are passive funds that track a particular index. For example, an index fund can track the Nifty 50 and another index fund can track the Nifty Midcap index. These funds are suitable for long term wealth creation.",Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_55,When will my account be credit with my High Growth fund redemption?,You would get the redemption credit in your bank account within 3-4 working days from the date of the redemption order.,Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_56,How can I invest in ELSS?,You can do either One-Time Investments or SIP in ELSS funds to save taxes annually.,Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_57,What is the minimum One- Time Investment amount in High Growth funds?,Minimum One-Time Investment amount differs from fund to fund. You can check the minimum One-Time investment amount of the specific fund on the fund's page.,Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_58,What is NSDL e-sign?,NSDL e-Sign is an online electronic signature service that enables Aadhaar card holders to digitally sign their KYC application for mutual funds.,Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_59,Who has set the minimum and maximum amount of investment for One time investments?,"The minimum and maximum amount for OTIs have been decided by the mutual fund company.

For unverified accounts, Jupiter sets an additional limit of Rs 50,000, to minimise issues arising due to RBI mandated restrictions on such accounts.",Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_60,Can I open a Joint / Family Account for Mutual Funds ?,"Currently, Joint/Family accounts are not supported. We only support individual accounts.",Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
MF_61,Can I change my registered email address for mutual fund KYC?,"To change your KYC details, you will have to physically submit a duly filled KYC form, along with a self-attested copy of your PAN card and a recent address proof, at any of the AMCs or Registered Transfer Agents (RTA) office.",Chat Scripts,Email Scripts,Voice Scripts,https://sites.google.com/jupiter.money/jupiter-gurucool,PCIR,Freshdesk Properties
